date,week
2014-06-16,77
2014-06-17,77
2014-06-18,77
2014-06-19,77
2014-06-20,77
2014-06-21,77
2014-06-22,77
2014-06-23,78
2014-06-24,78
2014-06-25,78
2014-06-26,78
2014-06-27,78
2014-06-28,78
2014-06-29,78
2014-06-30,79
2014-07-01,79
2014-07-02,79
2014-07-03,79
2014-07-04,79
2014-07-05,79
2014-07-06,79
2014-07-07,80
2014-07-08,80
2014-07-09,80
2014-07-10,80
2014-07-11,80
2014-07-12,80
2014-07-13,80
2014-07-14,81
2014-07-15,81
2014-07-16,81
2014-07-17,81
2014-07-18,81
2014-07-19,81
2014-07-20,81
2014-07-21,82
2014-07-22,82
2014-07-23,82
2014-07-24,82
2014-07-25,82
2014-07-26,82
2014-07-27,82
2014-07-28,83
2014-07-29,83
2014-07-30,83
2014-07-31,83
2014-08-01,83
2014-08-02,83
2014-08-03,83
2014-08-04,84
2014-08-05,84
2014-08-06,84
2014-08-07,84
2014-08-08,84
2014-08-09,84
2014-08-10,84
2014-08-11,85
2014-08-12,85
2014-08-13,85
2014-08-14,85
2014-08-15,85
2014-08-16,85
2014-08-17,85
2014-08-18,86
2014-08-19,86
2014-08-20,86
2014-08-21,86
2014-08-22,86
2014-08-23,86
2014-08-24,86
2014-08-25,87
2014-08-26,87
2014-08-27,87
2014-08-28,87
2014-08-29,87
2014-08-30,87
2014-08-31,87
2014-09-01,88
2014-09-02,88
2014-09-03,88
2014-09-04,88
2014-09-05,88
2014-09-06,88
2014-09-07,88
2014-09-08,89
2014-09-09,89
2014-09-10,89
2014-09-11,89
2014-09-12,89
2014-09-13,89
2014-09-14,89
2014-09-15,90
2014-09-16,90
2014-09-17,90
2014-09-18,90
2014-09-19,90
2014-09-20,90
2014-09-21,90
2014-09-22,91
2014-09-23,91
2014-09-24,91
2014-09-25,91
2014-09-26,91
2014-09-27,91
2014-09-28,91
2014-09-29,92
2014-09-30,92
2014-10-01,92
2014-10-02,92
2014-10-03,92
2014-10-04,92
2014-10-05,92
2014-10-06,93
2014-10-07,93
2014-10-08,93
2014-10-09,93
2014-10-10,93
2014-10-11,93
2014-10-12,93
2014-10-13,94
2014-10-14,94
2014-10-15,94
2014-10-16,94
2014-10-17,94
2014-10-18,94
2014-10-19,94
2014-10-20,95
2014-10-21,95
2014-10-22,95
2014-10-23,95
2014-10-24,95
2014-10-25,95
2014-10-26,95
2014-10-27,96
2014-10-28,96
2014-10-29,96
2014-10-30,96
2014-10-31,96
2014-11-01,96
2014-11-02,96
2014-11-03,97
2014-11-04,97
2014-11-05,97
2014-11-06,97
2014-11-07,97
2014-11-08,97
2014-11-09,97
2014-11-10,98
2014-11-11,98
2014-11-12,98
