dataid,active_record,building_type,program_579,program_baseline,program_energy_internet_demo,program_lg_appliance,program_verizon,program_ccet_group,program_civita_group,city,state,pv,date_enrolled,date_withdrawn,house_construction_year,total_square_footage,first_floor_square_footage,second_floor_square_footage,third_floor_square_footage,half_floor_square_footage,lower_level_square_footage,audit_2011,audit_2013_2014,survey_2011,survey_2012,survey_2013,survey_2014,number_of_nests,indoor_temp_min_time,indoor_temp_max_time,gas_ert_min_time,gas_ert_max_time,water_ert_min_time,water_ert_max_time,water_capstone_min_time,water_capstone_max_time,egauge_min_time,egauge_max_time,air1,air2,air3,airwindowunit1,aquarium1,bathroom1,bathroom2,bedroom1,bedroom2,bedroom3,bedroom4,bedroom5,car1,clotheswasher1,clotheswasher_dryg1,diningroom1,diningroom2,dishwasher1,disposal1,drye1,dryg1,freezer1,furnace1,furnace2,garage1,garage2,gen,grid,heater1,housefan1,icemaker1,jacuzzi1,kitchen1,kitchen2,kitchenapp1,kitchenapp2,lights_plugs1,lights_plugs2,lights_plugs3,lights_plugs4,lights_plugs5,lights_plugs6,livingroom1,livingroom2,microwave1,office1,outsidelights_plugs1,outsidelights_plugs2,oven1,oven2,pool1,poollight1,poolpump1,pump1,range1,refrigerator1,refrigerator2,security1,shed1,sprinkler1,use,utilityroom1,venthood1,waterheater1,waterheater2,winecooler1
8092,yes,Single-Family Home,,,yes,,,CCET - UT Text,,Austin,Texas,yes,3/19/11,,2006,1828,906,922,0,0,0, , ,yes, , ,yes,,,,,,,,,,2/23/13 18:00,5/29/15 20:59,yes,,,,,,,,,,,,,yes,yes,,,yes,yes,yes,,,yes,,,,yes,yes,,,,yes,,,yes,,,,,,,,,,yes,,,,,,,,,,,yes,,,,,yes,,,,,
8142,yes,Single-Family Home,,,yes,,,,,Austin,Texas,yes,3/19/11,,1993,3089,1524,1355,0,0,210, , ,yes,yes,yes,yes,,,,,,,,,,4/23/13 19:00,5/26/15 3:59,yes,yes,,,,,,,,,,,yes,yes,,,,yes,,yes,,,yes,,,,yes,yes,,,,yes,yes,,yes,yes,yes,,,,,,,,yes,yes,,,yes,,,,,,,yes,,,,,yes,,,,,
8188,yes,Single-Family Home,,,yes,,,CCET - Portal Only,,Austin,Texas,,3/19/11,,,,,,,,, , , , , , ,,,,,,,,,,2/14/13 18:00,5/31/15 2:59,yes,,,,,,,,,,,,,,,,,yes,,yes,,,yes,,,,,yes,,,,,,,yes,,,,,,,,yes,,yes,,,,,,,,,,yes,yes,,,,,yes,,,yes,,
8332,yes,Single-Family Home,,,yes,,,,,Austin,Texas,,3/19/11,,1954,1296,1296,0,0,0,0, , ,yes, , , ,,,,4/11/12 16:05,5/3/13 11:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9343,yes,Single-Family Home,,,yes,,,CCET - Portal Only,,Austin,Texas,,3/19/11,,1958,1800,1800,0,0,0,0, ,yes,yes,yes, , ,,,,,,,,,,2/22/13 0:00,5/31/15 3:59,yes,,,yes,,,,,,,,,,yes,,yes,,,,,,,,,,,,yes,,,,,,,yes,yes,,,,,,,yes,,yes,,,,,,,,,,,yes,,,,,yes,,,,,
9699,yes,Single-Family Home,,,yes,,,,,Austin,Texas,,3/19/11,,1957,978,978,0,0,0,0, , ,yes, ,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3570,yes,Single-Family Home,,,yes,,,,,Austin,Texas,,3/22/11,,1938,1065,1065,0,0,0,0, , , ,yes, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2094,yes,Single-Family Home,,,yes,yes,,CCET - Pricing Trial,,Austin,Texas,yes,5/18/11,,2007,2310,1385,925,0,0,0,yes, ,yes,yes, ,yes,,,,4/11/12 18:32,1/13/14 6:08,7/10/12 13:00,33:30.0,,,5/2/12 19:00,5/31/15 2:59,yes,,,,,,,,,,,,,yes,,,,yes,,yes,,,yes,,,,yes,yes,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,yes,,,,,yes,,,,,
4302,yes,Single-Family Home,,,yes,,,,,Austin,Texas,yes,6/1/11,,2009,2521,2521,0,0,0,0, , , ,yes, , ,1,,,4/11/12 18:59,5/10/13 16:27,,,,,9/17/12 19:00,5/31/15 2:59,yes,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,
8626,yes,Single-Family Home,,,yes,,,CCET - Control,,Austin,Texas,yes,6/3/11,,2011,3959,1773,2186,0,0,0, , ,yes,yes,yes,yes,,,,4/11/12 18:25,5/10/13 16:28,,,,,5/15/12 19:00,5/31/15 3:59,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,
9631,yes,Single-Family Home,,,yes,,,CCET - Text Message,,Austin,Texas,yes,6/3/11,,2008,1544,,,,,, , ,yes, , , ,,,,4/11/12 18:59,5/10/13 16:29,,,,,5/15/12 19:00,5/31/15 2:59,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,
7016,yes,Single-Family Home,,,yes,yes,,CCET - UT Text,,Austin,Texas,yes,6/14/11,,2008,2710,1508,1202,0,,, , ,yes, ,yes,yes,,,,4/11/12 18:54,5/10/13 16:29,,,,,5/2/12 19:00,5/31/15 3:59,yes,,,,,,,,,,,,,yes,,,,yes,yes,yes,,,yes,,,,yes,yes,,,,,,,yes,yes,,,,,,,,,yes,,,,,,,,,,,yes,,,,,yes,,yes,,,
6643,yes,Single-Family Home,,,yes,,,CCET - Portal Only,,Austin,Texas,yes,6/15/11,,2008,2154,,,,,, , ,yes, , , ,,,,4/11/12 18:59,5/10/13 16:29,,,,,5/2/12 19:00,5/31/15 3:59,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,
5615,yes,Single-Family Home,,,yes,,,CCET - Pricing Trial,,Austin,Texas,yes,7/1/11,,2009,2216,1434,782,0,0,0, , , , , , ,,,,4/11/12 18:56,5/10/13 16:27,,,,,5/2/12 19:00,5/31/15 2:57,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,
890,yes,Single-Family Home,,,yes,,,CCET - Text Message,,Austin,Texas,yes,7/20/11,,2008,2196,1424,772,0,0,0, , , , , , ,,,,4/11/12 18:57,5/10/13 16:29,,,,,5/2/12 19:00,5/31/15 2:59,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,
7429,yes,Single-Family Home,,,yes,,,CCET - Control,,Austin,Texas,yes,7/25/11,,2007,2521,2521,0,0,0,0, , ,yes,yes,yes,yes,,,,4/11/12 18:56,9/25/13 9:00,5/1/12 13:00,52:34.8,,,5/2/12 19:00,5/31/15 2:59,yes,,,,,,,,,,,,,,,,,,,yes,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,
5892,yes,Single-Family Home,,,yes,,,,,Austin,Texas,yes,7/26/11,,2007,2122,1162,960,0,0,0, , , , , , ,2,,,4/11/12 18:59,5/10/13 16:29,,,,,5/2/12 19:00,5/31/15 2:59,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,
4357,yes,Single-Family Home,,,yes,,,CCET - UT Text,,Austin,Texas,yes,7/27/11,,2008,1069,,,,,, , ,yes, , , ,,,,4/11/12 18:59,5/10/13 16:29,,,,,5/2/12 19:00,5/31/15 3:59,yes,,,,,,,,,,,,,,,,,,,yes,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,
171,yes,Single-Family Home,,,yes,,,CCET - UT Text,,Austin,Texas,yes,8/2/11,,2008,2376,1476,900,0,0,0, , ,yes, , , ,,,,4/11/12 18:59,5/10/13 16:29,,,,,5/2/12 19:00,5/31/15 2:44,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,
8967,yes,Single-Family Home,,,yes,,,CCET - Portal Only,,Austin,Texas,yes,8/24/11,,2007,2001,1435,566,0,0,0, , , , , , ,,,,4/12/12 18:38,1/28/14 15:13,5/1/12 13:00,58:53.6,,,5/2/12 19:00,5/31/15 2:46,yes,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,
5439,yes,Single-Family Home,,,yes,,,CCET - Control,,Austin,Texas,yes,8/30/11,,2008,1544,,,,,, , ,yes,yes,yes,yes,,,,4/11/12 18:59,5/10/13 16:29,,,,,5/2/12 19:00,5/31/15 3:59,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,
86,yes,Single-Family Home,,yes,yes,,,CCET - Portal Only,,Austin,Texas,,9/1/11,,1948,1788,1788,0,0,,,yes, , , , , ,1,,,,,,,,,1/17/13 18:00,5/31/15 3:48,yes,,,,,,,yes,yes,,,,,,,,,yes,,yes,,,yes,,,,,yes,,,,,yes,,,,yes,,,,,,yes,,,,,,,,,,yes,,,yes,,,,,yes,,,,,
93,yes,Single-Family Home,,yes,yes,,,CCET - Text Message,,Austin,Texas,yes,9/1/11,,1993,2934,2934,0,0,,,yes, ,yes, , , ,0,,,,,,,,,12/8/12 18:00,5/31/15 2:59,yes,,,,,,,,,,,,,yes,,,,yes,yes,yes,,,yes,,,,yes,yes,,,,yes,,,yes,,yes,yes,yes,,,,,,yes,,,,yes,,,,,,,yes,,,,,yes,yes,,,,
94,yes,Single-Family Home,,yes,yes,,,CCET - Control,,Austin,Texas,,9/1/11,,1975,1713,1713,0,0,,,yes,yes,yes,yes,yes,yes,,10/6/14 13:06,5/31/15 2:59,8/30/13 19:05,2/7/14 1:10,8/30/13 19:05,38:37.5,,,11/14/12 18:00,5/31/15 2:45,yes,,,,,,,,,,,,,yes,,,,yes,yes,yes,,,yes,,,,,yes,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,yes,,,,,yes,,,,,
103,yes,Single-Family Home,,yes,yes,,,,,Austin,Texas,,9/1/11,,1951,1785,1245,540,0,,, , ,yes, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,yes,Single-Family Home,,yes,yes,,,CCET - Control,,Austin,Texas,,9/1/11,,1953,1152,1152,0,0,,,yes,yes,yes,yes,yes,yes,,3/25/14 14:47,5/31/15 2:59,11/23/12 6:05,1/20/13 23:42,,,,,11/9/12 18:00,5/31/15 3:59,yes,,,,,yes,,,,,,,,,,,,,,yes,,,yes,,,,,yes,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,yes,,,,,yes,,,,,
484,yes,Single-Family Home,,yes,yes,,,CCET - UT Text,,Austin,Texas,,9/1/11,,1977,1592,1592,0,0,,,yes, ,yes,yes, ,yes,,9/29/14 17:36,5/31/15 2:59,7/30/13 7:39,2/7/14 1:37,7/30/13 5:33,23:22.9,,,10/8/13 19:00,5/31/15 2:59,yes,yes,,,,,,,,,,,,,yes,,,yes,yes,,yes,,yes,,,,,yes,,,,,,,yes,,,,,,,,yes,,,,,,,,,,,,,yes,yes,,,,yes,,,,,
739,yes,Single-Family Home,,yes,yes,,,CCET - Control,,Austin,Texas,,9/1/11,,1967,802,802,0,0,,,yes, , ,yes, ,yes,0,9/24/14 18:10,5/31/15 2:59,8/30/13 19:05,2/7/14 1:00,8/30/13 19:05,50:12.5,,,10/13/12 19:00,3/27/15 4:59,yes,,,,,,,,,,,,,yes,,,,,,yes,,,,,,,,yes,,,,,,,yes,,yes,,,,,,,,,,,,,,,,,,yes,,,,,,yes,,,,,
748,yes,Single-Family Home,,yes,yes,,,,,Austin,Texas,,9/1/11,,1980,1616,1616,0,0,,,yes, ,yes, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
871,yes,Single-Family Home,,yes,yes,,,CCET - Control,,Austin,Texas,,9/1/11,,1958,1652,1652,0,0,,,yes, ,yes,yes,yes, ,1,8/20/14 8:19,5/31/15 2:59,8/30/13 19:05,2/7/14 0:53,8/30/13 19:05,39:13.8,,,10/27/12 19:00,5/31/15 2:51,yes,,,,,,,,,,,,,yes,,,,yes,,yes,,,yes,,,,,yes,,,,,,,yes,,,,,,,,,,yes,,,,yes,,,,,,,yes,,,,,yes,,,yes,,
898,yes,Single-Family Home,,yes,yes,,,CCET - Pricing Trial,,Austin,Texas,,9/1/11,,1974,1221,1221,0,0,,, , , , , , ,1,,,,,,,,,9/13/12 19:00,5/24/15 2:59,yes,,,,,yes,,,,,,,,,,,,yes,yes,,,,yes,,yes,,,yes,,,,,,,,,yes,,,,,,,,,yes,,,,,,,,,,yes,,,,,yes,,,,,
936,yes,Single-Family Home,,yes,yes,,,CCET - Pricing Trial,,Austin,Texas,yes,9/1/11,,1955,1736,1736,0,0,,,yes,yes,yes,yes,yes,yes,1,,,,,,,,,10/9/13 19:00,5/31/15 3:59,yes,,,,,,,yes,yes,,,,,,,,,,,yes,,,yes,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,yes,,,yes,,
1314,yes,Single-Family Home,,yes,yes,,,,,Austin,Texas,,9/1/11,,1961,1512,1512,0,0,,,yes, ,yes, , ,yes,,10/6/14 13:58,5/31/15 2:59,7/30/13 4:09,1/11/14 12:35,7/30/13 4:12,17:46.7,,,3/20/14 0:00,5/31/15 3:59,yes,,,,,,,,,,,,,yes,,,,,,yes,,,yes,,,,,yes,,,,,,,,,,,,,,,,,yes,,,,,,,,,,yes,yes,,,,,yes,,,,,
1334,yes,Single-Family Home,,yes,yes,,,CCET - Pricing Trial,,Austin,Texas,,9/1/11,,1956,1010,1010,0,0,,,yes, ,yes, ,yes,yes,,,,,,,,,,9/22/12 19:00,5/31/15 2:59,yes,,,,,,,,,,,,,,,,,yes,,,,,yes,,,,,yes,,,,,yes,,yes,,yes,,,,,,,,,yes,yes,yes,,,,,,,yes,yes,,,,,yes,,,,,
1589,yes,Single-Family Home,,yes,yes,,,,,Austin,Texas,,9/1/11,,1994,2426,2426,0,0,,,yes, ,yes,yes, , ,,10/9/14 9:53,5/31/15 2:59,8/30/13 19:06,2/7/14 0:22,8/30/13 19:06,19:43.6,,,7/30/14 0:00,5/31/15 2:59,yes,,,,,,,,,,,,,,,,,,,yes,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,yes,,,,,,yes,,,,,,yes,,,,,
1714,yes,Single-Family Home,,yes,yes,,,CCET - Control,,Austin,Texas,yes,9/1/11,,1950,1934,1934,0,0,,,yes, ,yes,yes, , ,1,10/7/14 9:26,5/31/15 2:59,4/11/12 18:38,2/7/14 0:51,4/11/12 18:39,47:06.0,,,8/8/12 19:00,5/31/15 3:59,yes,,,yes,,yes,yes,yes,yes,,,,yes,yes,,,,yes,yes,yes,,,yes,,,,yes,yes,,,,,yes,,yes,,yes,yes,,,,,yes,yes,yes,yes,yes,yes,yes,,,,,,,yes,yes,,,,yes,,,,,
1796,yes,Single-Family Home,,yes,yes,,,,,Austin,Texas,,9/1/11,,1949,1590,1590,0,0,,,yes, ,yes,yes,yes,yes,1,,,,,,,,,6/19/14 0:00,4/22/15 2:59,yes,,,,,,,,,,,,,,,,,,,yes,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,yes,,,,,
2149,yes,Single-Family Home,,yes,yes,,,,,Austin,Texas,,9/1/11,,1965,3796,1739,2057,0,,, , ,yes,yes, ,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2158,yes,Single-Family Home,,yes,yes,,,CCET - Control,,Austin,Texas,,9/1/11,,1960,1186,1186,0,0,,,yes,yes,yes,yes, , ,1,,,4/11/12 18:45,5/10/13 16:04,,,,,8/24/12 19:00,5/31/15 2:59,yes,,,,,,,yes,yes,,,,,,,,,,,yes,,,yes,,,,,yes,,,,,yes,,,,yes,,,,,,,,,,yes,,,,,,,,,yes,,,,,yes,,,,,
2171,yes,Single-Family Home,,yes,yes,,,CCET - Control,,Austin,Texas,,9/1/11,,1980,1628,818,810,0,,,yes,yes,yes,yes, ,yes,1,,,,,,,,,11/16/12 18:00,5/31/15 3:59,yes,,,,,,,,,,,,,,yes,,,yes,yes,,,,yes,,,,,yes,,,,,,,yes,,yes,,,,,,,,yes,,,,,,,,,,,yes,,,,,yes,,,yes,,
2829,yes,Single-Family Home,,yes,yes,,,CCET - Text Message,,Austin,Texas,,9/1/11,,1942,1485,1485,0,0,,, ,yes,yes,yes,yes,yes,,,,,,,,,,9/1/12 19:00,5/31/15 2:59,yes,,,,,,,yes,yes,,,,,,yes,,,yes,,,,,yes,,,,,yes,,,,,,,,,yes,,,,,,,,yes,,,,yes,,,,,,,yes,,,,,yes,,,,,
2864,yes,Single-Family Home,,yes,yes,,,CCET - Pricing Trial,,Austin,Texas,yes,9/1/11,,1963,1973,,,,,,yes,yes, ,yes, , ,1,,,,,,,,,10/5/12 19:00,5/31/15 2:59,yes,,,,,,,,,,,,,,,,,,yes,yes,,,yes,,,,yes,yes,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,yes,,,yes,,yes,,,,,
3109,yes,Single-Family Home,,yes,yes,,,,,Austin,Texas,,9/1/11,,1948,1061,1061,0,0,,,yes, , , , , ,,,,4/4/13 6:41,5/7/13 14:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3342,yes,Single-Family Home,,yes,yes,,,,,Austin,Texas,,9/1/11,,1958,3048,3048,0,0,,,yes, ,yes, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3778,yes,Single-Family Home,,yes,yes,,,CCET - Text Message,,Austin,Texas,,9/1/11,,1971,1262,1262,0,0,,,yes, ,yes,yes,yes,yes,1,,,7/30/13 3:46,2/7/14 1:20,7/30/13 3:52,31:55.7,,,8/26/12 19:00,5/31/15 3:59,yes,,,,,,,yes,yes,,,,,yes,,,,,,,yes,yes,yes,,,,,yes,,,,,yes,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,yes,,,,,
3831,yes,Single-Family Home,,yes,yes,,,,,Austin,Texas,,9/1/11,,1935,758,758,0,0,,,yes, , , , , ,1,,,,,,,,,3/28/14 0:00,5/31/15 2:59,yes,,,,,yes,,,,,,,,,,,,yes,,,,,,,yes,,,yes,,,,,,,yes,yes,,,,,,,yes,,yes,,,,yes,,,,,,,,,,,,yes,,,,,
4141,yes,Single-Family Home,,yes,yes,,,,,Austin,Texas,,9/1/11,,1964,1190,1190,0,0,,,yes, , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4154,yes,Single-Family Home,,yes,yes,,,CCET - UT Text,,Austin,Texas,yes,9/1/11,,1962,1076,1076,0,0,,,yes,yes,yes, , , ,0,,,,,,,,,8/23/12 19:00,5/31/15 2:59,yes,,,,,,,yes,yes,,,,,,,,,,,yes,,,yes,,,,yes,yes,,,,,yes,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,yes,,,,,
5218,yes,Single-Family Home,,yes,yes,,,CCET - UT Text,,Austin,Texas,yes,9/1/11,,1986,2047,2047,0,0,,,yes, ,yes,yes,yes,yes,,,,,,,,,,8/31/12 19:00,5/31/15 3:59,yes,yes,,,,yes,yes,yes,yes,,,,,,,,,,,yes,,,yes,,,,yes,yes,,,,,yes,,yes,,yes,yes,,,,,,,yes,,,,yes,,,,,,,yes,yes,,,,yes,,,,,
5292,yes,Single-Family Home,,yes,yes,,,,,Austin,Texas,,9/1/11,,1966,1959,1959,0,0,,,yes, , , , , ,0,,,4/13/12 13:06,4/4/13 23:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5371,yes,Single-Family Home,,yes,yes,,,CCET - Control,,Austin,Texas,,9/1/11,,1941,937,937,0,0,,,yes, ,yes,yes,yes,yes,1,10/6/14 16:58,5/31/15 2:59,9/13/13 8:18,10/31/13 2:24,4/12/12 18:00,59:27.0,,,12/1/12 18:00,5/31/15 2:59,yes,,,,,,,yes,yes,,,,,yes,,,,,,,,,yes,,yes,,,yes,,,,,,,,,yes,yes,,,,,yes,,yes,,,,,,,,,,,yes,,,,,yes,,,,,
5746,yes,Single-Family Home,,yes,yes,,,CCET - Portal Only,,Austin,Texas,,9/1/11,,1950,1768,1768,0,0,,, ,yes,yes,yes,yes, ,,,,,,,,,,9/6/12 19:00,5/31/15 3:59,yes,,,yes,,,,yes,yes,,,,,yes,,,,yes,,yes,yes,,yes,,,,,yes,,,,,,,yes,yes,yes,yes,yes,yes,,,yes,,yes,yes,,,,,,,,,yes,yes,yes,,,,yes,,,,,
5810,yes,Single-Family Home,,yes,yes,,,,,Austin,Texas,,9/1/11,,1965,1345,1345,0,0,,,yes, ,yes,yes, ,yes,,,,8/26/13 15:59,2/7/14 1:36,8/26/13 15:59,47:08.6,,,6/10/14 0:00,5/31/15 2:59,yes,,,,,yes,yes,yes,,,,,,,,,,yes,yes,,,,yes,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,yes,,,,,
5874,yes,Single-Family Home,,yes,yes,,,CCET - Pricing Trial,,Austin,Texas,yes,9/1/11,,1955,1215,1215,0,0,,,yes, , ,yes, ,yes,,,,,,,,,,12/8/12 18:00,5/31/15 2:59,yes,,,,,yes,,yes,,,,,,,,,,,,,,,yes,,,,yes,yes,,,,,,,,,,,,,,,yes,,,yes,,,,,,,,,,,,,,,yes,,,,,
5949,yes,Single-Family Home,,yes,yes,,,CCET - Control,,Austin,Texas,,9/1/11,,1948,1962,1962,0,0,,,yes, ,yes,yes, , ,0,,,,,,,,,10/31/12 19:00,5/31/15 3:59,yes,,,,,,,yes,,,,,,,,,,yes,yes,,,,yes,,,,,yes,,,,,,,yes,,yes,,,,,,,,,,,,yes,,,,,,,,,,,,yes,,,,,
6088,yes,Single-Family Home,,yes,yes,,,,,Austin,Texas,,9/1/11,,1969,3429,2021,1408,0,,,yes, ,yes, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6139,yes,Single-Family Home,,yes,yes,,,CCET - Pricing Trial,,Austin,Texas,yes,9/1/11,,1970,2361,,,,,,yes, ,yes,yes,yes,yes,1,,,,,,,,,9/15/12 19:00,5/31/15 3:59,yes,,,,,yes,yes,,,,,,yes,yes,,yes,,yes,yes,yes,,,yes,,yes,,yes,yes,,,,,yes,,,,yes,yes,,,,,yes,,,yes,yes,,,,,,,,yes,yes,,,,,yes,,,,,
6246,yes,Single-Family Home,,yes,yes,,,,,Austin,Texas,,9/1/11,,1980,2235,1065,1170,0,,,yes, ,yes, ,yes, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6394,yes,Single-Family Home,,yes,yes,,,,,Austin,Texas,,9/1/11,,1935,2537,2537,0,0,,,yes, ,yes, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6636,yes,Single-Family Home,,yes,yes,,,CCET - Control,,Austin,Texas,,9/1/11,,1953,1522,1522,0,0,,, ,yes,yes,yes,yes, ,0,,,8/30/13 19:05,12/27/13 13:53,8/30/13 19:05,25:04.6,,,9/20/12 19:00,1/2/15 17:59,yes,,,yes,,,,,,,,,,,,yes,,yes,,yes,,,,,,,,yes,,,,,yes,,,,yes,yes,,,,,,,,yes,,,,,,,,,,yes,,,,,yes,,,,,
6673,yes,Single-Family Home,,yes,yes,,,CCET - Text Message,,Austin,Texas,,9/1/11,,1985,1257,1257,0,0,,,yes, ,yes,yes, ,yes,1,10/16/14 18:48,5/31/15 2:59,8/30/13 15:35,2/7/14 1:05,4/14/12 18:04,52:54.9,,,10/8/12 19:00,5/31/15 2:59,yes,,,,,,,,,,,,,yes,,,,,,yes,,,yes,,yes,,,yes,,,,,yes,,yes,,yes,yes,,,,,yes,,,,,,,,,,,,,yes,,,,,yes,,,,,
6730,yes,Single-Family Home,,yes,yes,,,CCET - Pricing Trial,,Austin,Texas,,9/1/11,,1967,1965,,,,,, ,yes, ,yes, ,yes,1,,,,,,,,,9/13/12 19:00,5/31/15 2:34,yes,,,,,yes,,yes,yes,,,,,yes,,,,,,yes,,,yes,,yes,,,yes,,,,,yes,yes,,,yes,yes,,,,,yes,,,,,,,,,,,yes,,yes,,,,,yes,,,,,
6794,yes,Single-Family Home,,yes,yes,,,,,Austin,Texas,,9/1/11,,1954,1232,1232,0,0,,, , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6827,yes,Single-Family Home,,yes,yes,,,,,Austin,Texas,,9/1/11,,1960,1104,1104,0,0,,,yes, , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6910,yes,Single-Family Home,,yes,yes,,,CCET - Portal Only,,Austin,Texas,,9/1/11,,1967,2698,1466,1232,0,,,yes,yes,yes, ,yes,yes,,3/25/14 14:48,3/31/15 14:59,7/30/13 4:43,2/7/14 1:52,7/30/13 4:49,57:13.3,6/23/14 0:00,5/30/15 23:59,7/19/12 0:00,5/31/15 3:59,yes,yes,,,,yes,yes,yes,yes,yes,,,yes,,yes,yes,,yes,yes,,,,yes,yes,yes,,,yes,,,,,yes,,yes,yes,yes,yes,yes,,,,yes,,,,,,,,,,,,,yes,,,,,yes,,,,,
7161,yes,Single-Family Home,,yes,yes,,,,,Austin,Texas,,9/1/11,,1976,926,926,0,0,,,yes, ,yes, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7361,yes,Single-Family Home,,yes,yes,,,CCET - UT Text,,Austin,Texas,,9/1/11,,1920,944,944,0,0,,,yes, , , , , ,0,9/19/14 13:29,11/22/14 14:59,9/3/13 11:46,9/3/13 11:48,9/3/13 11:42,40:03.7,,,11/17/12 18:00,5/31/15 3:59,yes,,,,,,,,,,,,,,,,,yes,,,,,yes,,,,,yes,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,yes,,,yes,,yes,,,yes,,
