dataid,active_record,building_type,program_579,program_baseline,program_energy_internet_demo,program_lg_appliance,program_verizon,program_ccet_group,program_civita_group,city,state,pv,date_enrolled,date_withdrawn,house_construction_year,total_square_footage,first_floor_square_footage,second_floor_square_footage,third_floor_square_footage,half_floor_square_footage,lower_level_square_footage,audit_2011,audit_2013_2014,survey_2011,survey_2012,survey_2013,survey_2014,number_of_nests,indoor_temp_min_time,indoor_temp_max_time,gas_ert_min_time,gas_ert_max_time,water_ert_min_time,water_ert_max_time,water_capstone_min_time,water_capstone_max_time,egauge_min_time,egauge_max_time,air1,air2,air3,airwindowunit1,aquarium1,bathroom1,bathroom2,bedroom1,bedroom2,bedroom3,bedroom4,bedroom5,car1,clotheswasher1,clotheswasher_dryg1,diningroom1,diningroom2,dishwasher1,disposal1,drye1,dryg1,freezer1,furnace1,furnace2,garage1,garage2,gen,grid,heater1,housefan1,icemaker1,jacuzzi1,kitchen1,kitchen2,kitchenapp1,kitchenapp2,lights_plugs1,lights_plugs2,lights_plugs3,lights_plugs4,lights_plugs5,lights_plugs6,livingroom1,livingroom2,microwave1,office1,outsidelights_plugs1,outsidelights_plugs2,oven1,oven2,pool1,poollight1,poolpump1,pump1,range1,refrigerator1,refrigerator2,security1,shed1,sprinkler1,use,utilityroom1,venthood1,waterheater1,waterheater2,winecooler1
3009,yes,Single-Family Home,,yes,yes,,,CCET - Portal Only,,Austin,Texas,yes,2/1/11,,2008,1252,1252,0,0,,,yes, ,yes, ,yes,yes,,,,4/11/12 18:52,5/10/13 16:29,,,,,2/23/14 18:00,5/31/15 3:59,yes,,,,,,,,,,,,,,,,,,,yes,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,
3039,yes,Single-Family Home,,yes,yes,,,CCET - Pricing Trial,,Austin,Texas,yes,2/1/11,,2010,3246,1706,1540,0,,,yes, ,yes, , ,yes,,,,4/11/12 18:51,5/10/13 16:29,,,,,10/26/12 19:00,5/31/15 3:59,yes,,,,,,,,,,,,,yes,,,,yes,yes,,yes,yes,yes,,,,yes,yes,,,,,,,,,,,,,,,yes,,yes,,,,yes,,,,,,,yes,,,,,yes,,,yes,yes,yes
3192,yes,Single-Family Home,,yes,yes,,,CCET - Pricing Trial,,Austin,Texas,yes,2/1/11,,2008,2075,2075,0,0,,,yes,yes,yes, , , ,,,,4/11/12 18:59,5/10/13 16:29,,,,,5/22/12 1:00,5/31/15 2:44,yes,,,,,yes,,,,,,,yes,yes,,,,yes,yes,,yes,,yes,,,,yes,yes,,,,,,,yes,yes,,,,,,,yes,,yes,,,,yes,,,,,,,yes,,,,,yes,,yes,,,
3456,yes,Single-Family Home,,yes,yes,,,CCET - Pricing Trial,,Austin,Texas,yes,2/1/11,,2008,1720,1720,0,0,,,yes, ,yes,yes,yes,yes,,,,4/11/12 18:58,5/10/13 16:27,,,,,10/19/12 19:00,5/31/15 2:59,yes,,,,,yes,,yes,,,,,,yes,,,,yes,yes,yes,,,yes,,,,yes,yes,,,,,yes,,,,yes,yes,,,,,,,yes,,,,yes,,,,,,yes,yes,,,,,yes,,,,,
3482,yes,Town Home,,yes,yes,,,CCET - Pricing Trial,,Austin,Texas,yes,2/1/11,,2009,1900,950,950,0,,,yes, ,yes,yes,yes,yes,,,,4/11/12 17:45,5/10/13 16:29,,,,,12/11/12 18:00,5/31/15 2:37,yes,,,,,,,,,,,,yes,yes,,,,yes,,yes,,,yes,,,,yes,yes,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,yes,,,,,yes,,,,,
3544,yes,Single-Family Home,,yes,yes,,,CCET - Control,,Austin,Texas,yes,2/1/11,,2008,1185,602,583,0,,,yes, ,yes,yes, , ,,,,4/13/12 7:43,5/10/13 16:18,,,,,5/2/12 19:00,3/31/15 9:59,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,
3577,yes,Single-Family Home,,yes,yes,,,,,Austin,Texas,,2/1/11,,2008,2122,1162,960,0,,,yes, ,yes, ,yes, ,,,,4/11/12 18:59,5/10/13 16:29,,,,,5/30/14 0:00,5/31/15 2:59,yes,,,,,yes,,,,,,,,yes,,,,yes,yes,,yes,,yes,,,,,yes,,,,yes,,,yes,yes,,,,,,,,,yes,,,,yes,,,,,,,yes,,,,,yes,,yes,,,
3739,yes,Town Home,,yes,yes,,,,,Austin,Texas,,2/1/11,,2009,2020,1074,946,0,,,yes, ,yes, , , ,,,,4/11/12 18:59,5/10/13 16:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3918,yes,Single-Family Home,,yes,yes,,,CCET - UT Text,,Austin,Texas,yes,2/1/11,,2008,3023,1473,1550,0,,,yes, ,yes, , , ,,,,4/11/12 18:59,5/10/13 16:28,,,,,9/17/12 19:00,5/31/15 3:59,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,
3967,yes,Single-Family Home,,yes,yes,,,CCET - Pricing Trial,,Austin,Texas,yes,2/1/11,,2008,2521,2521,0,0,,,yes, ,yes, ,yes,yes,,,,4/11/12 18:56,5/10/13 16:23,,,,,5/15/12 19:00,5/31/15 2:59,yes,,,,,yes,,,,,,,yes,yes,,,,yes,yes,yes,yes,,yes,,,,yes,yes,,,,,yes,yes,,,,,,,,,,,yes,,,,yes,,,,,,,yes,yes,,,,yes,,,,,
