dataid,active_record,building_type,program_579,program_baseline,program_energy_internet_demo,program_lg_appliance,program_verizon,program_ccet_group,program_civita_group,city,state,pv,date_enrolled,date_withdrawn,house_construction_year,total_square_footage,first_floor_square_footage,second_floor_square_footage,third_floor_square_footage,half_floor_square_footage,lower_level_square_footage,audit_2011,audit_2013_2014,survey_2011,survey_2012,survey_2013,survey_2014,number_of_nests,indoor_temp_min_time,indoor_temp_max_time,gas_ert_min_time,gas_ert_max_time,water_ert_min_time,water_ert_max_time,water_capstone_min_time,water_capstone_max_time,egauge_min_time,egauge_max_time,air1,air2,air3,airwindowunit1,aquarium1,bathroom1,bathroom2,bedroom1,bedroom2,bedroom3,bedroom4,bedroom5,car1,clotheswasher1,clotheswasher_dryg1,diningroom1,diningroom2,dishwasher1,disposal1,drye1,dryg1,freezer1,furnace1,furnace2,garage1,garage2,gen,grid,heater1,housefan1,icemaker1,jacuzzi1,kitchen1,kitchen2,kitchenapp1,kitchenapp2,lights_plugs1,lights_plugs2,lights_plugs3,lights_plugs4,lights_plugs5,lights_plugs6,livingroom1,livingroom2,microwave1,office1,outsidelights_plugs1,outsidelights_plugs2,oven1,oven2,pool1,poollight1,poolpump1,pump1,range1,refrigerator1,refrigerator2,security1,shed1,sprinkler1,use,utilityroom1,venthood1,waterheater1,waterheater2,winecooler1,num_residents,profile_type
2814,yes,Single-Family Home,"",yes,yes,"","",CCET - Control,"",Austin,Texas,yes,2011-02-01,"",2009,1842,1379,463,0,,,yes,yes,yes,yes,yes,yes,,2014-04-04 09:23:01-05,2015-05-31 02:59:01-05,2012-04-11 18:59:20-05,2013-05-10 16:25:40-05,"","","","",2012-05-14 19:00:00-05,2015-05-31 02:50:00-05,yes,"","","","",yes,"","","","","","",yes,yes,"","","",yes,yes,yes,"","",yes,"",yes,"",yes,yes,"","","","",yes,yes,"","","","","","","","",yes,"",yes,"","","","","","","","","","",yes,"",yes,"","",yes,"","","","","",2,2
2859,yes,Single-Family Home,"",yes,yes,"","","","",Austin,Texas,"",2011-02-01,"",2008,1252,1252,0,0,,,yes, ,yes,yes,yes,yes,,"","",2012-04-11 18:59:49-05,2013-05-10 16:27:05-05,"","","","",2014-05-29 00:00:00-05,2015-05-31 03:59:00-05,yes,"","","","",yes,"",yes,yes,"","","","",yes,"","","",yes,yes,yes,"","",yes,"","","","",yes,"","","","","","",yes,yes,yes,"","","","","","","",yes,"","","","","","","","","","",yes,"",yes,"",yes,yes,"","","","","",0,2
2945,yes,Single-Family Home,"",yes,yes,"","",CCET - UT Text,"",Austin,Texas,yes,2011-02-01,"",2007,1720,1720,0,0,,,yes, , , , , ,,"","",2012-04-11 18:59:40-05,2014-02-06 22:43:59-06,2012-05-01 13:00:00-05,2015-05-30 23:58:14.373936-05,"","",2012-05-15 19:00:00-05,2015-05-31 03:59:00-05,yes,"","","","","","","","","","","","",yes,"","","",yes,yes,"",yes,"",yes,"","","",yes,yes,"","","",yes,"","",yes,yes,"","","","","","","","",yes,"","","",yes,"","","","","","",yes,"","","","",yes,"","","","","",,2
3009,yes,Single-Family Home,"",yes,yes,"","",CCET - Portal Only,"",Austin,Texas,yes,2011-02-01,"",2008,1252,1252,0,0,,,yes, ,yes, ,yes,yes,,"","",2012-04-11 18:52:06-05,2013-05-10 16:29:36-05,"","","","",2014-02-23 18:00:00-06,2015-05-31 03:59:00-05,yes,"","","","","","","","","","","","","","","","","","",yes,"","","","","","",yes,yes,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",yes,"","","","","",1,2
1790,yes,Single-Family Home,"",yes,yes,"","",CCET - Control,"",Austin,Texas,yes,2011-02-01,"",2008,3023,1473,1550,0,,,yes, ,yes,yes,yes, ,,"","",2012-04-11 18:59:20-05,2013-05-10 16:29:31-05,"","","","",2014-05-02 00:00:00-05,2015-05-31 01:59:00-05,yes,yes,"","","","","","","","","","","","","","","","","","","","","","","","",yes,yes,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",yes,"","","","","",,3
2018,yes,Single-Family Home,"",yes,yes,"","","","",Austin,Texas,yes,2011-02-01,"",2008,3023,1473,1550,0,,,yes, , , , , ,,"","",2012-04-11 18:59:00-05,2013-05-10 16:29:23-05,"","","","",2013-11-13 18:00:00-06,2015-05-31 02:59:00-05,yes,yes,"","","",yes,yes,"","","","","",yes,yes,"","","",yes,yes,yes,"","",yes,yes,"","",yes,yes,"","","",yes,"","",yes,yes,yes,"","","","","","","",yes,"","","",yes,"","","","","",yes,yes,yes,"","","",yes,"",yes,"","","",,3
2233,yes,Single-Family Home,"",yes,yes,"","",CCET - Portal Only,"",Austin,Texas,yes,2011-02-01,"",2008,3245,1779,1466,0,,,yes, ,yes, ,yes, ,,"","",2012-04-12 07:30:15-05,2013-05-10 16:25:08-05,"","","","",2012-05-02 19:00:00-05,2015-05-31 03:59:00-05,yes,"","","","",yes,"","","","","","","",yes,"","","",yes,yes,"",yes,"",yes,"","","",yes,yes,"","","","","","",yes,yes,"","","","","","","","",yes,"","","","","","","","","","",yes,"","","","",yes,"",yes,"","","",,3
3482,yes,Town Home,"",yes,yes,"","",CCET - Pricing Trial,"",Austin,Texas,yes,2011-02-01,"",2009,1900,950,950,0,,,yes, ,yes,yes,yes,yes,,"","",2012-04-11 17:45:29-05,2013-05-10 16:29:02-05,"","","","",2012-12-11 18:00:00-06,2015-05-31 02:37:00-05,yes,"","","","","","","","","","","",yes,yes,"","","",yes,"",yes,"","",yes,"","","",yes,yes,"","","","","","","","","","","","","","","","",yes,"","","","","","","","","","",yes,"","","","",yes,"","","","","",1,4
3739,yes,Town Home,"",yes,yes,"","","","",Austin,Texas,"",2011-02-01,"",2009,2020,1074,946,0,,,yes, ,yes, , , ,,"","",2012-04-11 18:59:49-05,2013-05-10 16:28:11-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,4
4421,yes,Town Home,"",yes,yes,"","",CCET - Control,"",Austin,Texas,"",2011-02-01,"",2008,1185,602,583,0,,,yes, ,yes,yes,yes, ,,"","",2012-06-18 21:04:25-05,2013-05-10 16:28:00-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,4
3456,yes,Single-Family Home,"",yes,yes,"","",CCET - Pricing Trial,"",Austin,Texas,yes,2011-02-01,"",2008,1720,1720,0,0,,,yes, ,yes,yes,yes,yes,,"","",2012-04-11 18:58:55-05,2013-05-10 16:27:51-05,"","","","",2012-10-19 19:00:00-05,2015-05-31 02:59:00-05,yes,"","","","",yes,"",yes,"","","","","",yes,"","","",yes,yes,yes,"","",yes,"","","",yes,yes,"","","","",yes,"","","",yes,yes,"","","","","","",yes,"","","",yes,"","","","","",yes,yes,"","","","",yes,"","","","","",2,2
3544,yes,Single-Family Home,"",yes,yes,"","",CCET - Control,"",Austin,Texas,yes,2011-02-01,"",2008,1185,602,583,0,,,yes, ,yes,yes, , ,,"","",2012-04-13 07:43:12-05,2013-05-10 16:18:40-05,"","","","",2012-05-02 19:00:00-05,2015-03-31 09:59:00-05,"","","","","","","","","","","","","","","","","","","","","","","","","","",yes,yes,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",yes,"","","","","",,2
