"dataid";"localminute";"use";"air1";"air2";"air3";"airwindowunit1";"aquarium1";"bathroom1";"bathroom2";"bedroom1";"bedroom2";"bedroom3";"bedroom4";"bedroom5";"car1";"clotheswasher1";"clotheswasher_dryg1";"diningroom1";"diningroom2";"dishwasher1";"disposal1";"drye1";"dryg1";"freezer1";"furnace1";"furnace2";"garage1";"garage2";"gen";"grid";"heater1";"housefan1";"icemaker1";"jacuzzi1";"kitchen1";"kitchen2";"kitchenapp1";"kitchenapp2";"lights_plugs1";"lights_plugs2";"lights_plugs3";"lights_plugs4";"lights_plugs5";"lights_plugs6";"livingroom1";"livingroom2";"microwave1";"office1";"outsidelights_plugs1";"outsidelights_plugs2";"oven1";"oven2";"pool1";"pool2";"poollight1";"poolpump1";"pump1";"range1";"refrigerator1";"refrigerator2";"security1";"shed1";"sprinkler1";"unknown1";"unknown2";"unknown3";"unknown4";"utilityroom1";"venthood1";"waterheater1";"waterheater2";"winecooler1"
3299;"2013-12-31 18:35:00-06";0.471;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.471;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0.089;;;;;;;;;;;0;;
3299;"2013-12-31 18:36:00-06";0.383;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.383;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;0;;
3299;"2013-12-31 18:37:00-06";0.383;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.383;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;0;;
3299;"2013-12-31 18:38:00-06";0.385;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.385;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;0;;
3299;"2013-12-31 18:39:00-06";0.384;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.384;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;0;;
3299;"2013-12-31 18:40:00-06";0.385;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.385;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;0;;
3299;"2013-12-31 18:41:00-06";0.384;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.384;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;0;;
3299;"2013-12-31 18:42:00-06";2.212;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;2.212;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;1.833;;
3299;"2013-12-31 18:43:00-06";3.723;0.004;;;;;;;;;;;;;;;;;;;;;;0;;;;;3.723;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;3.347;;
3299;"2013-12-31 18:44:00-06";3.720;0.004;;;;;;;;;;;;;;;;;;;;;;0;;;;;3.720;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;3.344;;
3299;"2013-12-31 18:45:00-06";2.182;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;2.182;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;1.803;;
3299;"2013-12-31 18:46:00-06";0.382;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.382;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;0;;
3299;"2013-12-31 18:47:00-06";0.382;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.382;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;0;;
3299;"2013-12-31 18:48:00-06";0.384;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.384;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;0;;
3299;"2013-12-31 18:49:00-06";2.111;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;2.111;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;1.736;;
3299;"2013-12-31 18:50:00-06";3.702;0.004;;;;;;;;;;;;;;;;;;;;;;0;;;;;3.702;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;3.333;;
3299;"2013-12-31 18:51:00-06";3.697;0.004;;;;;;;;;;;;;;;;;;;;;;0;;;;;3.697;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;3.330;;
3299;"2013-12-31 18:52:00-06";3.698;0.004;;;;;;;;;;;;;;;;;;;;;;0;;;;;3.698;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;3.331;;
3299;"2013-12-31 18:53:00-06";1.850;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;1.850;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;1.479;;
3299;"2013-12-31 18:54:00-06";0.374;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.374;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;0;;
3299;"2013-12-31 18:55:00-06";0.375;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.375;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;0;;
3299;"2013-12-31 18:56:00-06";2.007;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;2.007;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;1.637;;
3299;"2013-12-31 18:57:00-06";3.707;0.004;;;;;;;;;;;;;;;;;;;;;;0;;;;;3.707;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;3.340;;
3299;"2013-12-31 18:58:00-06";3.703;0.004;;;;;;;;;;;;;;;;;;;;;;0;;;;;3.703;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;3.336;;
3299;"2013-12-31 18:59:00-06";3.702;0.004;;;;;;;;;;;;;;;;;;;;;;0;;;;;3.702;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;3.336;;
3299;"2013-12-31 19:00:00-06";0.755;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.755;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;0.381;;
